Description,Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint
1% 1/16W,"R100,R112,R308,R700,R702",5,22K1,,,,Resistor_SMD:R_0402_1005Metric
0.1% 1/16W,R306,1,30K1,,,,Resistor_SMD:R_0402_1005Metric
Inductor,L103,1,4.7uH (SPM12565VT-4R7M-D),,,,Custom_Global_Footprints:SPM12565VT-4R7M
1% 1/16W,R103,1,47K5,,,,Resistor_SMD:R_0402_1005Metric
1% 1/16W,"R201,R216,R217",3,49K9,,,,Resistor_SMD:R_0402_1005Metric
1% 1/5W,"R206,R400,R410,R506,R507,R510,R511,R512,R703",9,4K7,,,,Resistor_SMD:R_0402_1005Metric
0.1% 1/16W,R304,1,5K23,,,,Resistor_SMD:R_0402_1005Metric
"I2C Serial EEPROM, 1Kb (128x8) with Unique Serial Number, SO8",U502,1,AT24CS01-SSHM,,,,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
12uA 3.9V~14V 4.208V 5.056A Charging IC I2C Lithium Battery Support Support WQFN-24-EP(4x4) Battery Management,U300,1,BQ25892,,,,Package_DFN_QFN:Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias
Battery Holder CR2032 Manganese Steel Nickel Plugin Button And Strip Battery Connector,BT500,1,BS-07-A1BJ001_CR2032,,,,Battery:BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032
"P-Channel 1.5A 2.9nC@10V 230mΩ@4.5V,1.2A 2V@6.3uA 30V 500mW P-Channel SOT-23 MOSFETs","Q300,Q700,Q701",3,BSS314PEH6327,,,,Custom_Global_Footprints:BSS314PE
"Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",J800,1,Conn_02x03_Odd_Even,,,,Connector_PinHeader_1.27mm:PinHeader_2x03_P1.27mm_Vertical_SMD
"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",J804,1,Conn_02x05_Odd_Even,,,,Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD
1.3uA 3V~3.6V 9.5mA USB 2.0 USB to UART QFN-24-EP(4x4) USB Converters,U101,1,CP2102N-A02-GQFN24R,,,,Custom_Global_Footprints:CP2102N_QFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm
"N-Channel 1.8V 2.3W 2.7nC@4.5V 30V 30mΩ@8V,4A 340pF@15V 5A WSON-6(2x2)",Q113,1,CSD17313Q2,,,,Package_SON:Texas_DQK
10mA 3V~24.5V 500uA PD 3.0 QFN-24 USB Converters,U200,1,CYPD3177-24LQ,,,,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm_ThermalVias
"-11.3A Id, -60V Vds, P-Channel Power MOSFET, 55mOhm Ron, 11.9nC Qg (typ), SO-8",Q202,1,DMP6050SSD-13,,,,Custom_Global_Footprints:DMP6050SSD_SO-8_3.9x4.9mm_P1.27mm
Extremely Accurate I2C-Integrated RTC/TCXO/Crystal SOIC-16,U500,1,DS3231M,,,,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm
,U501,1,ESP32-WROOM-32E,,,,RF_Module:ESP32-WROOM-32E
Fiducial Marker,"FID400,FID401,FID402",3,Fiducial,,Excluded from BOM,,Fiducial:Fiducial_1mm_Mask2mm
"N-Channel 1.2A 110pF 2.6nC@4.5V 20V 250mΩ@4.5V,0.93A 25pF@16V 540mW 700mV SOT-23 MOSFETs","Q203,Q205,Q301,Q500,Q702,Q703",6,IRLML2402TRPBF,,,,Package_TO_SOT_SMD:SOT-23
"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","J300,J600,J601,J801,J802,J803,J805,J806,J807,J808",10,JST_B2B,,,,Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical
"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","J700,J701",2,JST_B4B,,,,Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical
"1.5V@(3A) 12V 25V 3A 5mA 60dB@(120Hz) Fixed Over Current Protection Positive TO-263-3 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators","U405,U406",2,LM1085IS-12/NOPB,,,,Package_TO_SOT_SMD:TO-263-3_TabPin2
Mounting Hole with connection,"H800,H801,H802,H803,H804,H805",6,MountingHole_Pad,,Excluded from BOM,,MountingHole:MountingHole_2.2mm_M2_Pad_TopBottom
GREEN,"D100,D101,D300,D302",4,NCD0402G1,,,,LED_SMD:LED_0402_1005Metric
RED,"D200,D201,D301,D400,D403,D404,D405,D700,D701",9,NCD0402R1,,,,LED_SMD:LED_0402_1005Metric
Schottky Diodes & Rectifiers Schottky Rectifier,"D500,D600,D601",3,SBR3U40S1F,,,,Custom_Global_Footprints:SBR3U40S1F-7
"-12A Id, -30V Vds, P-Channel Power MOSFET, 9.5mOhm Ron, 33.7nC Qg (typ), PowerDI3333-8","Q200,Q201,Q204",3,SI7615DN-T1-GE3,,,,Package_SON:Diodes_PowerDI3333-8
Inductor,L300,1,SRN6045HA-1R0Y,,,,Custom_Global_Footprints:SRN6045HA-1R0Y
N-Channel 120mΩ@5V 2.8V@250uA 3.3W 30pF 340pF 4A 60V 63pF 9nC@5V N-Channel SOT-223 MOSFETs,"Q600,Q601",2,STN3NF06L,,,,Package_TO_SOT_SMD:SOT-223
"Push button switch, generic, two pins","SW800,SW801",2,SW_Push,,,,Button_Switch_SMD:SW_SPST_PTS645
test point,"TP402,TP403,TP405,TP412,TP413,TP414,TP415,TP416,TP417,TP418,TP419,TP420,TP421,TP422,TP423,TP424,TP425,TP426,TP427,TP428,TP429",21,TestPoint_Small,,Excluded from BOM,,TestPoint:TestPoint_Pad_D1.5mm
,U104,1,TPS61287,,,,Custom_Global_Footprints:RZP0014A-MFG
TYPE-C-31-M-12,J100,1,TYPE-C-31-M-12,,,,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal
https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8586175479908458496,Q100,1,UMH3N,,,,Package_TO_SOT_SMD:SOT-363_SC-70-6
"Very low capacitance ESD protection diode, 2 data-line, SOT-666",U100,1,USBLC6-2P6,,,,Package_TO_SOT_SMD:SOT-666
"1A 3.3V 50dB@(1kHz) 655mV@(1A) 6V 8uA Fixed Over Current Protection Positive SOT-25 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators","U403,U404",2,XC6220B331MR-G,,,,Package_TO_SOT_SMD:SOT-23-5
test point,"TP301,TP500,TP501,TP502,TP503,TP506,TP507,TP509,TP600,TP601,TP602,TP603,TP700,TP701,TP702,TP703,TP704,TP800,TP801,TP802,TP803,TP804,TP805",23,~,,Excluded from BOM,,TestPoint:TestPoint_Pad_D1.0mm
